date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:18:57	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Apr%202022%2022:18:56%20GMT	https://spam5014.wixsite.com/test/decodeURIComponent(e	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/test/decodeURIComponent(e	(from https://spam5014.wixsite.com/test/about-5)
16:18:57	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Apr%202022%2022:18:56%20GMT	https://spam5014.wixsite.com/test/robots.txt	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/test/robots.txt	(from https://spam5014.wixsite.com/test/about-5)
16:18:58	283/283	---M--	200	added ('OK')	text/xml	date:Sat,%2016%20Apr%202022%2022:18:57%20GMT	https://spam5014.wixsite.com/test/sitemap.xml	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/test/sitemap.xml	(from https://spam5014.wixsite.com/test/about-5)
16:18:58	2936/2936	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Apr%202022%2022:18:57%20GMT	https://spam5014.wixsite.com/test/feed.xml	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/test/feed.xml	(from https://spam5014.wixsite.com/test/about-5)
16:18:58	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Apr%202022%2022:18:57%20GMT	https://spam5014.wixsite.com/test/5b26625f.min.css	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/test/5b26625f.min.css	(from https://spam5014.wixsite.com/test/about-5)
16:18:58	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Apr%202022%2022:18:58%20GMT	https://spam5014.wixsite.com/test/5fbcb901.chunk.min.js	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/test/5fbcb901.chunk.min.js	(from https://spam5014.wixsite.com/test/about-5)
16:18:59	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Apr%202022%2022:18:58%20GMT	https://spam5014.wixsite.com/test/rb_wixui.thunderbolt~bootstrap-classic.afb16b0a.chunk.min.js	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/test/rb_wixui.thunderbolt_bootstrap-classic.afb16b0a.chunk.min.js	(from https://spam5014.wixsite.com/test/about-5)
16:18:59	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Apr%202022%2022:18:58%20GMT	https://spam5014.wixsite.com/test/version/	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/test/version/index.html	(from https://spam5014.wixsite.com/test/about-5)
16:18:59	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Apr%202022%2022:18:58%20GMT	https://spam5014.wixsite.com/test/rb_wixui.thunderbolt~bootstrap.7c1e0d7b.chunk.min.css	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/test/rb_wixui.thunderbolt_bootstrap.7c1e0d7b.chunk.min.21.delayed	(from https://spam5014.wixsite.com/test/about-5)
16:18:59	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Apr%202022%2022:18:59%20GMT	https://spam5014.wixsite.com/test/rb_wixui.thunderbolt~bootstrap.5fbcb901.chunk.min.js	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/test/rb_wixui.thunderbolt_bootstrap.5fbcb901.chunk.min.js	(from https://spam5014.wixsite.com/test/about-5)
16:19:00	2648/2648	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Apr%202022%2022:18:59%20GMT	https://static.wixstatic.com/media/a3c153_d272d21cf9724e17be9e01ffe7173b88~mv2.jpg/v1/fill/w_129,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/a3c153_d272d21cf9724e17be9e01ffe7173b88~mv2.jpg	H:/Projects/Site/for%20real%20site/static.wixstatic.com/media/a3c153_d272d21cf9724e17be9e01ffe7173b88_mv2.jpg/v1/fill/w_129,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/a3c153_d272d21cf9724e17be9e01ffe7173b88_mv2.jpg	(from https://spam5014.wixsite.com/test/about-5)
